content,score,Label
Aplikasinya bagus banget bisa beli tiket pesawat dan bisa pergi ke mana aja.,5,Positif
"Proses refund lama sangat kecewa dah pdahal alasan maskapai yg membatalkan, klo apl sebelah cepat pdahal sma2 wktu pengajuan cman 3 hri sdngkan kita mau pesan tiket bru msa iya hrus nunggu 90 hri 🥴..",2,Negatif
"Tidak kredibel lagi .... Saya pesan hotel di aplikasi dan sudah dibayar... Akan tetapi sesampainya di lokasi, pihak hotel bilang sudah tidak ada kerja sama lagi ... Dan akhirnya tidak bisa di refund",1,Negatif
"bertahun2 pakai traveloka..mau cek in susah bgt dgn sistem yg baru,,di update bukan makin memudahkan tapi semakin ..hiksss..,trimakasih telah menemani sekian tahun,,kita pindah ke apk sebelah😇🙏..",1,Negatif
terimakasih Traveloka sudah membuat perjalanan saya menjadi mudah dari mulai tiket pesawat tiket hotel lalu mobil rental semua lengkap makasih banyak pokonya. sukses terus Traveloka saya senang sebagai pengguna aplikasi ini .,5,Positif
"Traveloka setelah di update jaringan nya lelet banget, bagusan sebelum di update, sangat mengecewakan sekali, kecewaaaaaaa",1,Negatif
"aplikasi yg sangat bagus ,sangat membantu baik waktu didalam negri maupun diluar negri, fully recommended 😂👍👍",5,Positif
"Limit saya sudah 10 juta, hanya karena baru sekali telat bayar beberapa hari saja limit langsung turun drastis, di kembalikan ke limit awal. Parahnya lg akun di non aktifkan. Padahal sudah bayar tagihan beserta denda nya termasuk menutup tagihan yg blm jatuh tempo. Beda sama aplikasi sebelah",2,Negatif
terimakasih Traveloka..pesan hotel jadi mudah..dan banyak kupon nya,4,Positif
"Pengguna setia travolaka dari tahun 2017 limit sudah sampai 10jtan, pas pandemi 2020 tidak pakai dlu hapus aplikasi, pas mau pakai langsung suruh daftar lagi, lah sekarang malah ga di acc.",1,Negatif
Awal th saya beli tiket palu palangka raya.. dengan nominal 7.4jt untuk 2 tiket... ada pembatalan dr pihak maskapai.. yg salah pihak maskapai.. dan tiket di refound.. pengembalian dana slama 3bln.. di informasi cs traveloka dana kembali 7.2jt.. dan baru td cm di kembalikan 4.6jt aja.. sisanya kemana... aplikasi banyak korupsi.. jangan pakai aplikasi ini.. penipu.. aplikasi penipu..,1,Negatif
Di dalam apk masih tersedia kursi nya tapi pas mau bayar malah di bilang sudah ada yang memilih kursi tersebut. Tolong di perbaiki lagi untuk masalah hal tsb,3,Netral
Kenapaa paylater nya gagal di gunankan terus. Dan splitpaynya juga tidak bisa di gunakan,1,Negatif
"Proses refundnya mudah, CS nya sangat inisiatif walaupun diluar jam operasional, bahkan membantu proses refund saya yang terkendala... Mantap",5,Positif
"Nyesel pake aplikasi ini, Pesen kamar hotel kita suruh bayar saat cek in. Tpi di aplikasi minta jaminan, begitu sudah dibayar jaminannya juga ga balik. Akhirnya malah bayar dobel. Hati2 yg pake traveloka.",1,Negatif
Setelah di update Login pakai email malah masuk akun baru gak bisa ke akun lama pesanan dan saldo uangku status nya gak jelas skrg saya aangat dirugikan..!!,1,Negatif
"Pakai traveloka spaylater mudah, telat 1 hari doang limit nggak bisa dipake lagi, padahal limitny naik terus. Huhu jd males transaksi!",3,Netral
"Aplikasi bukan nya mempermudah malah mempersulit, di booking jauh2 hari pass tiba di lokasi malah full, aku mau wisuda besok nya orang tua udh di jalan pula kirain pass org tua nyampe langsung istrahat gitu dari pejalnan jauh, ini malah di bikin ribet sama aplikasinya",1,Negatif
"Gk bisa bicara dengan costumer service secara langsung, semua via bot, jelek pelayanan bot lambat, telpon CS jg yang jawab bot, sampah, ngabisin pulsa aja, auto ganti ke aplikasi lain yang bisa ngomong langsung sama CS",1,Negatif
"Kenapa ya habis update kok virtual number di traveloka payleter malah ga bisa di pake,,padahal kan saya baru naek limit sudah di level 3...masa malah ga bisa dipake sii",3,Netral
"Admin Traveloka, tolong dong tiket saya jangan reschedule terus ini sudah 2 kali reschedule saya harus berangkat sesuai tiket yg sudah ada. Mohon solusinya 🙏",3,Netral
"Seharusnya pihak traveloka mensurvei tempat/hotel yang dicurigai hotel fiktif/penipuan,saya boking d aplikasi traveloka dan ditipu oleh penginapan...padahal penginapan tersebut tidak ada...kembalikan uang saya",1,Negatif
"sy telah menggunakan traveloka lebih dari 10 tahun... sangat baik. pernah batal berangkat... langsung refund. proses tdk rumit... malah dapat bonus voecher hotel. traveloka memang hebat... playanan juga ok... tiada duanya,,,,",5,Positif
"Ada ket jaminan uang kembali 100% pemesanan kereta api, ttp aja gabisa refund, bisa pun harus lewat apk kai/tlp pihak kai itupun susah sesuai prosedir KAInya, lah ini traveloka ga ada kontribusinya untuk bantu refund nya!",1,Negatif
Sangat puas dengan pelayanan Traveloka...semua lancar,5,Positif
"Parah banget , pihak traveloka terkwsan melemparkan masalah yang kita hadapi ke maskapai , dan jika kita melapor ke traveloka tidak akan di acc , dahlah malas traveloka belum siap jadi pihak ke 3 hanya mementingkan uang kita , tapi pelayanan Bintang 0",1,Negatif
"Sumpah, ini aplikasi terbaik untuk pemesanan tiket pesawat dan Hotel. Sudah lama saya pakai aplikasi ini dan hari ini terharu karena proses pengembalian dana tiket yg dibatalkan maskapai benar² difasilitasi dengan baik oleh traveloka. Banyak terima kasih untuk team traveloka, sukses selalu dan pertahankan kebaikannya ya..",5,Positif
"Tiba2 dturunin level,dugaan telat pembayaran atau penggunaan dadakan,pdhl telat jg gak prnh dadakan jg gak makin aneh aja tau2 dturunin level 👎 padahal sblmnya nyaman banget krn sgala kemudahan dn prosesnya di traveloka",2,Negatif
Akun saya sdh lama dan tergabung dgn Facebook..saya jg sdh terdftar paylater.namun tiba tiba akun srg error' saat mau digunakan.ketika di logout dan akan log in TDK bs masuk krn fitur Facebook sdh TDK tersedia.bagaimana ini Traveloka?,1,Negatif
capat dan mudah pesan tiket di aplikasi ini..tidak banyak bingung,5,Positif
Saya sudah refund tiket menggunakan paylater dan sudah ditransfer balik ke akun paylater saya tapi kenapa saya tetap di tagih untuk bayar padahal saya tidak menggunakan paylater tersebut.. Tolong min diverifikasi ulang,1,Negatif
Baru aja instal apk ini. Tapi kode verifikasi tidak dikirim² 🕺🕺🕺🕺kecewa pulll sudah kirim berulang² masih aja belum ada masuk.. gimana nih min,3,Netral
"Pesan hotel berapa kali dapat harga lebih murah daripada nelpon langsung ke hotel nya. saran aja semoga nanti bisa dimuat jua pembayaran melalui e-money seperti gopay, shopeepay, dana, dll",5,Positif
Untuk penginapan/hotelnya banyak yg udh tutup tapi gk di hps sama traveloka,1,Negatif
"Sudah waktunya beralih ke aplikasi yg lbh baik, cepat, mudah akurat, terpecaya, dan singkat waktu refundnya.",1,Negatif
"Sejauh ini saya selalu puas make aplikasi ini dari dulu, mau rescheduled tiket pun cukup mudah dan cepat ga perlu nunggu berjam-jam.",5,Positif
"Saya sssuai nama say diatas,saya uninstal aplikasinya karena tambah kartu debit tidak bisa dan pengajuan paylater saya ditolah,dan tolong halus data2 saya sekalian jangan sampai disalah gunakan.semua diluar tanggung jawab saya ingat itu.",1,Negatif
"Gak rekomendasi pakai traveloka, refund sudah lama dan gak sesuai estimasi yg di informasikan sebelumnya. Saya terima refund cuma 33%. Sadissss",1,Negatif
Sayangnya wilayah penjaringan tidak ada bus terdekat seperti muara angke penjaringan gedong panjang dan juga muara baru jadi gak bisa mesen tiket di sana deh 🥲 uninstall lagi aja semoga bakal ada bus rute keberangkatan terdekat 🙏,4,Positif
"Ini aplikasi se enak nya aj!kita beli tiket pesawat dengan satu kali perjalanan/tujuan,setelah kita bayar kita di nermalkan di kota transit dengan biaya sendiri!!!!",1,Negatif
menjadi lebih gampang dan terbantu dengan adanya traveloka,5,Positif
Saya sangat terbantu dan selalu dengan Traveloka utk kebutuhan penerbangan dan jalan darat via KA. Hadiahkan saya Tiket Pesawat Jakarta Bali krn sy pelanggan Setia Traveloka sebagai Tour Guide dan Marketing property. Salam sukses selalu👍 Terima ksh Traveloka🙏,5,Positif
Sebelumnya check in on line mudah skrg kenapa tambah susah lewat aplikasi. Kalau di upgrade itu semakin mempermudah bukan semakin mempersulit. Kami menggunakan aplikasi anda Krn mudah penggunaannya tp kalau spt ini mungkin akan banyak yg uninstall aplikasi ini dan pindah ke aplikasi yg memudahkan penggunanya,1,Negatif
Aplikasi mudah dipahami dan proses pemesanan tiket aman dan cepat👍👍,5,Positif
"Paspor msh dalam daftar antrean sp bulan depan kl mau pesan tiket pesawat pake paspor lama koq gak bs ya, tolong di bantu ya,tq",3,Netral
Saya sangat kecewa tidak bisa di refund padahal saya tidak menggunakan jasa rental tersebut saya rugi dan tim support sangat lama dalam memberikan jawaban.. Traveloka buruk dalam pengembalian dan kebijakan refundnya.,1,Negatif
"Traveloka tolong ya lain kali sebelum telpon buat tanya tagihan pembayaran paylater dicek dulu,jgn asal main ditelpon2 aja. Dan tolong itu CS mu diajari sopan tlp kok nadanya keras seperti itu. Pembayaran sudah dapat notif email ditrima kok tiba2 ditelp2 gini,sy tau sy telat sekian menit tapi langsung sy kejar bayar dan sdh dpt notif dtrima pembayarannya tp knp malah ditlp gini,apakah sblm tlp itu tidak dilakukan pengecekan dahulu?? Sy bnr2 syok dgr nada cscmu tlp sperti itu",2,Negatif
"Kecewa sih😌 tolong untuk proses refund bisa di percepat kali ya, karena yang cancel kan pihak maskapai nya sedangkan kita bayar pun cash tapi proses refundnya lama..",2,Negatif
"Sejak instal aplikasi ini, saya sudah beberapa kali transaksi tiket pesawat disini. Tapi kejadian kemarin buat saya cukup kecewa, saya pesan tiket perjalanan buat adik saya dari Banjar Masin ke Makassar, tapi adik saya ketinggalan pesawat karna mungkin dia lalai. Otomatis tiket hangus dan saat ajukan refund, pengajuan saya juga ditolak.",1,Negatif
"udah ngisi data bener"" foto ktp dan selfie juga jelas tapi kenapa kok pas mau daftar paylatter traveloka kok gak bisa bisa sih keterangannya kesalahan dalam mengunggah data anda. tolong dong dibantu ya gimana ini kelanjutannya!!",5,Positif
Audit semua hotel yang belum ada kebijakanya merasa di rugikan banget jika tiba tiba kita tidak di perbolehkan ini dan itu secara mendadak. Belum lagi untuk permasalahan early cek in tolong di update agar pelanggan tidak merasa tertipu,1,Negatif
"Tentang refund, traveloka jangan terlalu lama dong kasih dana nya,, masa harus sampai 90 hari,, Saya bayar transfer aja cuma dikasih waktu beberapa jam harus transfer,,, saya bayar cash bukan kredit sampai 90 hari,, lagian yg membatalkan penerbangan kan maskapainya,, harusnya dana refund bisa lebih cepat lagi dikembalikan supaya bisa dipakai untuk beli tiket baru,,.. Saya pelanggan setia traveloka sejak 2012, kalo sampai ini masih gini, saya bisa cari agen lain..",1,Negatif
Dapat limit tapi gak bisa dipakai. Terus dpt notif terus biar pake limitnya. Kan aneh. Refundnya juga lamaaaaaaaaaaaaaaaaaa banget.,1,Negatif
"Tidak konsisten dalam membantu konsumen, kmarin saya reques kursi pesawat tp tidak sesuai yg di reques seblum.... Padahal di bayar kok sangat kecewa",1,Negatif
"Kecewa bgttt, pesan homestay untuk acara di luar kota sudah nyampe ternyata gk bisa cek in, katanya sudah gak kerjasama lama Tp knp masih di promosikan, pdhal sudah bayar PENIPUAN Pengajuan klaim juga di tolak",1,Negatif
"Bayaran balik sya hilang,,smua data2 ny sya sudah isi tnggu pengesahan byaran balik..sya sudah hitung2 hri ny..d bulan ini sya mendapat kn uang sya tpi ngk ad respon..sya lihat refund sya dekat traveloka hilang..bagaimana sya mengetahui sudah bayar atau belum..sya sudah check dkt bank sya ngk ad uang msuk..menyesal rsa ny beli tiket pesawat dekat sni..",1,Negatif
Sangat membantu sekali...rekomendasi buat para pecinta traveling...,5,Positif
"Proses refund tidak diproses dan selalu di bales text machine, tidak ada itikad baik dan memberikan ketentuan waktu dan jawaban yang jelas. Bayangkan saya harus membayar produk yang tidak saya beli beserta biaya tambahan nya, karena prosesurnya hrus seperti itu. ketika saya ikuti ternyata 1 bulan lebih dana saya tidak dikembalikan. Saya tunggu itikad baik dengan menghubungi saya,tidak seperti cs traveloka dengan service BURUUUUUUUUUK.",1,Negatif
Sangat buruk.. Udah pembayaran tiket pesawat dan keesokan hari.y harus reschedule sedangkan harga penerbangan naik tinggi banget..,1,Negatif
"Beli tiket bulan 3 datanganya bulan 2 , diminta uang kembali trs dri pihak traveloka meng iya kan tp blm sampe ke rekening juga uangnya udh full seharian.. Disitunya ktanya d potong 200 san lebih tp ternyata uang nya blm kembali jga.. Hati2 ya guys bkan saya menjatuhkan tp sya kecewa sama aplk ini .. Gk lagi dej kapok auto uninstl mls RUGI !! lain kali d perbaiki!",1,Negatif
"Kecewa dengan aplikasi ini, saya ditinggal pesawat minta refund tidak di Terima.ny terpaksa hilang saja tiket pesawat udh saya booking. Beli baru",1,Negatif
layanan cepat mudah dan informatif... makasih traveloka,5,Positif
Maaf yaa sy hapus aplikasi dari koleksi s. Sy kecewa karena TRAVELOKA PAY LATER sy di bekukan. Padahal sy pengguna setia traveloka. Dan kondisi akun pay later sy dalam keadaan baik baik saja. KECEWA....,1,Negatif
"Turun mulu limit pay laternya, pembayaran lancar setiap bulannya",3,Netral
"Buat Kalian Yang Butuh Tiket Pesawat dan Hotel Bisa Download Aplikasi ini Ya Guys, Rekomendasi Banget Deh Buat Kalian..",5,Positif
"Aplikasi ini bagus, tapi saya sarankan itu metode pembayaran di tambahkan, link aja, atau dana biar lebih mudah transaksinya, Terima kasih 🙂",5,Positif
aplikasinya ok.. hanya saja untuk pembayaran via m-banking untuk smua bank ternama di indonesia tidak ada.. harus melalui atm.. nah bagaimana klo disuatu daerah tdk ada atm dan hrus menempuh puluhan kilometer untuk mendaptkan atm yg itu bisa menghabiskan wktu brjam² kalau tidak macet atau terkendala dgn kondisi alam sprti longsor misalnya.. dan hrus memutar jauh sekali untuk sampai ke ktmpt dimana atm itu brada. ini hanya saran saya aj.. kedepannya tolong traveloka tingkatkan.,3,Netral
Aplikasi anj*NK.. Tak ada kode promo yg bisa di pakai.. hilang semua,1,Negatif
"Sangat kecewa denga Traveloka, hari ini jatuh tempo pembayaran paylater saya, tadi saya sudah melakukan pembayaran, tapi tagihannya masih ada, sedangkan saldo saya di rekening sudah berkurang jumlahnya. Tidak ada CS yang bisa di hubungi langsung, chat pun hanya d balas oleh asisten otomatis. Jadi kemana saya harus melaporkan masalah ini? Kirim email tidak bisa, no telp cs yang tertera pun hanya asisten otomatis. Tak bisa bicara langsung dengan cs nya.",5,Positif
Kenapa penerbangan di batalkan trus uang nya belum kembli ke rekening untuk pemesanan ulang..sudah 2 hari blm da masuk masuk di rekening..tidak prefisional dan bertanggung jawab,1,Negatif
"Mohon bantuannya pihak traveloka. Saya beli tiket tapi salah rute/tujuan. Saya mau mengubah rute/tujuan lewat aplikasi traveloka. Tapi selalu muncul tulisan Maap sistem kami sedang sibuk, Mohon cek koneksi internet anda. Mohon minta solusinya.",5,Positif
"Saya penguna traveloka paylater udah lama , angsuran tepat waktu tapi barusan saya cek yang angsuran buat bulan februari sama maret kok udah ada dendanya kan belum lewat jatuh tempo , gimana sih ini , merugikan sekali",3,Netral
"Pelayanan cepat dan CS ramah, serta memberikan penjelasan detail dan jelas sekali ketika saya mau reschedule tiket, semoga kedepannya Traveloka lebih bagus lagi",5,Positif
"Aplikasi nya keren,pesen tiket pesawat n hotel sangat mudah",5,Positif
"Saya dulu pernah pake traveloka,,pas mau ajuin paylater malah aneh g di setujui...saya pake aplikasi tetangga bru download langsung di ksh paylater..",1,Negatif
oke banget buat nge booking tiket kereta buat suami.. makasih traveloka. buat ada cashback donk. biar tambah rame lagi.. 👍👍👍👍,5,Positif
Sangat mengecewakan tidak bisa membantu dalam reschedule dan refund. Perbaiki lagi aplikasinya dan pelayanannya. Jadi males pakai aplikasi ini lagi.,1,Negatif
untuk harga tiket sebaiknya apabila customer pesan sudah harga upgrade...jangan pas diklik baru ada pemberitahuan perubahan harga...terima kasih,5,Positif
"alhamdulillah cukup mudah penggunaannya, bagi saya yg pemula, dan alhamdulillah dpt harga diskon, sukses selalu Traveloka",5,Positif
"hanya di Traveloka yg benar2 ngasih kemudahan dan keuntungan, sipp...",5,Positif
Limit saya tadinya 14.900.000 setelah penggunaan tiket pesawat Trus harus beli tiket trus gitu biar limit ga turun ? Ko aneh limit ga di pakai pakai turun,3,Netral
"App tolol ini skrg jd app mafia. Barusan sy pesan Tiket Pesawat utk tgl 3 Feb 2023 Gunungsitoli - Jakarta dgn penerbangan Nias-Medan Wings 08.50wib transit Medan-Jakarta Batik 11.00wib harga perorang 2juta rupiah. Namun saat mencoba untuk membayar 4 penumpang, saya tdk bisa bayar krn kursi yg saya pilih sudah dipilih orang. Seharusnya sy tdk bisa memilih kursi itu dr awal. Setelah mencoba kesekian kali masih tdk bisa juga, harga naik jd 2.7juta perorang. Saya tak jadi pesan. Menyusahkan sekali.",1,Negatif
"Kecewa dengan TRAVELOKA, saya pesan tiket pesawat, dan jadwal saya dirubah oleh pihak traveloka lalu saya batalkan (refund). Setelah saya refund, uang tiket dipotong dari setengah harga tiket, jika saya merubah jadwal dan membatalkan saya terima. Dan ini kesalahan dari pihak maskapai/traveloka, saya susah cari uang untuk tiket, ini malah membuat saya rugi.",1,Negatif
"Sebenarnya lebih percaya dgn aplikasi ini. Dan ingin pesan tiket bus disini. Tapi sayangnya disini jurusan yang saya inginkan tidak ada. Sementara di aplikasi sebelah ada. Ya udah. Terpaksa ke sebelah deh. Untuk jurusan Garut - Jakarta, dan sebaliknnya.",4,Positif
saya beri 2 bintang karna pengajuan limit paylater traveloka gagal terus padahal udah dicoba terus gagal di foto diri dan foto ktp padahal sudah sangat jelas dan akhirnya saya menyerah untuk melanjutkanya lagi karna saya yakin hasilnya akan sama.,2,Negatif
Traveloka sangat membantu untuk pembelian tiket hanya saja sangat kurang sekali untuk promo di bahwa 1 juta dan terutama kadang tiket lebih mahal dibanding aplikasi sebelah.,5,Positif
"Kelupaan bayar paylater 1 hari.. Krna ga ada buka email sama aplikasi.. Ditelpon cs nya ,ga ada ramah2 nya banget ! Kayak orang mau ngajakin berantem !",2,Negatif
"Saya sudah sangat sering membeli tiket lewat Traveloka, baik pesawat maupun bis. Tapi, untuk tiket bis tujuan ke Wonosobo tolong lebih diperbanyak lagi untuk pilihan bisnya",5,Positif
"Bunga di traveloka paylater terlalu tinggi, sdh kaya rentenir, ngeri.",1,Negatif
"Hallo Kak, saya sebagai pengguna setia Traveloka mengucapkan terima kasih, karena melalui Traveloka saya bisa menggunakan Fasilitas layanan yang ada di dalamnya, mulai dari pesawat, kereta api, hotel dan lainnya. Termasuk layanan paylater, tapi saya mau tanya kenapa layanan paylater saya dinonaktifkan sementara, padahal saya baru menggunakan sekali dan pembayaran cicilannya juga lancar ? Bagaimana saya cara mengaktifkan kembali dan mendapatkan layanan paylater saya ?",5,Positif
"Fitur UANGKU tolong diberikan perbaruan agar dapat melakukan transfer/penarikan uang dr UANGKU ke bank, agar uang yang sudah tidak terpakai bisa berguna kembali tidak hanya mengendap di Traveloka.",3,Netral
"Pengalaman sy baru saja tgl 21/22 Jan menginap di hotel grand Sovia bdg.pembelian via Traveloka,sungguh sy sangat kecewa dg pelayanan hotel ini.petugas saat itu ketus(prempuan), mo minta air minum tambahan.tdk bisa,sandal kmr tdk ada, ketika mau check out.krn sehari sblmnya hujan.istri sy sdg kurang enak bdn.mau minta extend wkt 30 mnt saja dr jam 12.tdk di ijinkan, hanya 15 menit.dg ucapan yg kurang kooperatif,petugas sama dg saat kedatangan.sangat di sayangkan dan sy akan ksh tau teman2 lain.",5,Positif
"Traveloka memudahkan customer. transparan perhitungannya banyak pilihan pembayaran. Untuk dipertahankan, jangan main tipu-tipu pasti customer tetap gunakan Traveloka",4,Positif
"Tidak memuaskan . Saya pesan tiket pesawat dari maskapai di rubah lalu saya batalkan . Uang tiket di potong dan pembayaran pun di perlambat - lambat , jika saya merubah jadwalnya atau membatalkan sendiri saya terima. ini maskapai yang merubah jadwalnya",1,Negatif
di tambah lagi kalau bisa dengan pencairan dana ya kak jadi tidak paylater saja hehehe makasih,5,Positif
"Traveloka Adalah Layanan Tiket Dan Hotel Terbaik Dengan Harga Yang Murah Tetapi Tetap Memberikan Hotel Dengan Kualitas Terbaik Juga Layanan Cepat, Andalan Saya Ketika Mau Pergi Ke Luar Daerah",5,Positif
Akhir-akhir ini banyak sekali kamar yang tidak tersedia di traveloka. Sayang sekali padahal ini aplikasi bagus. Semoga bisa diperbaharui lagi ketersediaan kamarnya,3,Netral
"Reschedule makin buruk, dulu kyknya reschedule lebih mudah, easy reschedule tidak easy. Paraah ada menu reschedule lebih dari 3 hari, namun tidak bisa reschedule lebih dari ituu. Mohon kerja samanya dengan maskapai diperbaiki",1,Negatif
"memang selalu pakai ni aplikasi kmna2 tp kecewa dgn yg 1 ini *Jangan beri limit kalau nyatanya gk bisa digunakan, traveloka paylater limit nya lumayan tp penggunaan 1 rupiah pun gk bisa dan tidak ad penjelasan*",1,Negatif
"Kecewa dengan paylater traveloka,percuma diberikan limit besar tapi tidak bisa digunakan karna alasan keamanan. Padahal di app status saya bagus sampai level 6 max. Tidak pernah ada terlambat bayar sama sekali. Dan tidak pernah menggunakan berlebihan justru jarang saya pakai. Sudah lapor via live chat,email,call center semua nya ga ada solusi! Mungkin IT DEV nya pun kurang pengalaman dalam membuat sistem keamanan. Lalu untuk apa limit besar diberikan tapi tidak bisa digunakan? PERCUMA!",1,Negatif
"Saya merasa dirugikan. Dan sepertinya byk juga mengalami hal yg sama. Semoga calon/ pelanggan tdk mengalami hal yg sama. Uninstall & lebih baik pake aplikasi yg lain🙏🏻 Jgn terkecoh angka rating yg dihitung dg ""caranya sdr""",1,Negatif
Tolong dong untuk po am trans kalau sebelum ke berangkatan di konfirmasi dahulu. Jangan kebiasaan baru kli ini saya kayak dikerjain. Traveloka harus bijak memilih po yang berkualitas. Makasih,1,Negatif
Saya suka. Cuma Tidak bisa bayar lewat transfer pakai BSI mobile banking. Jadi repot cari Indomaret lagi.,3,Netral
gampang dan cepat utk pembelian segala jenis tiket,4,Positif
"GK Bisa login menggunakan akun Facebook. Padahal akun yang di daftarkan menggunakan akun Facebook. Pas saat login kembali aplikasi bener² GK respon. Sudah di update, sudah di hapus data tetap ajh GK ada respon. Tolong di perbaiki",2,Negatif
"masa gak ada jalan keluar buat refund tiket damri, mengecewakan gak lagi2 pake treveloka",1,Negatif
Applikasi tiket online yg sangat baik. Sangat membantu traveler untuk bepergian. Waktu awal beli tiket pesawat di sini langsung sukses dan berhasil tidak ada hambatan hingga naik pesawat 😆,5,Positif
Plalatter traveloka payah.. booking hotel pake playlatter saldo terpotong tp ditagih juga pembayaran waktu check in.. bener2 pembodohan public.. di email nya pembayaran akan dikembalikan dalam waktu 5 hari.. lagian ngapai juga klo niat nya bayar lgsg aja gak usah pake embel2 paylatter..,1,Negatif
"memudahkan perjalanan, Saat ini ok lah,,,tingkatkan lgi promonya",5,Positif
Pemesanan tiket pesawat paling cepat dan segalanya mudah,5,Positif
"Beli tiket jauh2 hari lewat aplikasi ini,biar dapat harga murah,tau2 penerbangan di batalkan oleh maskapai,dengan alasan hanya karena kendala oprasional, GAK MASUK AKAL. penerbangan jkt_batam 3juli 2023",1,Negatif
"Ini gimana ko saya tidak bisa melanjutkan mengisi data yaa,udah di klik selesai tapi tidak melanjutkan ke halaman berikutnya,saya ini penting buat pemberangkatan,gajelas asli😭",2,Negatif
"promo nya ga jelas, habis terus kuota nya (selama persedian masih ada(",2,Negatif
"Saat ini Traveloka semakin payah tidak profesional. Proses refund ribet dan lama tanpa kejelasan, minta konfirmasi norek berkali-kali Geje!",1,Negatif
Refund berhasil. Tolong kedepannya traveloka lebih bijak memilih hotel2 rekomendasi. Dan perbaiki bug yg merugikan pelanggan. Terima kasih,5,Positif
"Dulu Gw Pencinta Traveloka Tapi Sejak Pengajuan PayLater Gak Pernah Di Approve Entah Apa Alasannya, Gw Mending Pilih Agoda Walau Gak Pake Paylater Tapi Harga nya Jauh Di Bawah Traveloka....Byeee....",1,Negatif
"Sangat kecewa refund katanya sdh di transfer, sampai skrg masih blm masuk.. 37 hari sudah menunggunya. Mutasi bank sdh saya berikan, tpi tdk ada respon yang baik, 2x tlp cs jga tdk ada respon baik. SANGAT KECEWA",1,Negatif
Lamanya pemberitahuan informasi yang baru. Di aplikasi masih tertulis di batalkan. Padahal di maskapainya sudah di ganti penerbangan lainnya. Tapi informasi yang di Traveloka belum di perbarui,1,Negatif
Sangat kecewa sya daftar payleter krna sring di spam ada fitur baru payleter giliran daftar gagal udh 1buln loh mau daftar lagi gak bisa kenapa ini padahal sya bukn pengguna baru sya udh pengguna silver priority!!! Tolong solusinya 🙏🏻🙏🏻,1,Negatif
"Liat ulasannya bintang1 jd ragu menggunakan aplikasi ini(tidak meninggalkan kesan yg baik) apalagi setelah liat video youtuber yg pesan hotel dkt bandara krn perjalanan jauh dr LN/jepang, yg pesan lewat traveloka tp kamarny tidak sesuai yg dipesan/dialihkan.",1,Negatif
Beli tiket kreta api jurusan sby-jogja. Trnyata gagal brangkat krn vaksin tidak lengkap. Tolong perbarui aplikasi agar bisa otomatis menolak calon penumpang yg belum vaksin lengkap saat memasukkan no ktp/ID. Bukankah no ktp sudah terhubung ke data kemenkes ? Klo gini kan pihak kai dan traveloka pingin dapat sekian % dari dana yang tidak bisa di kembalikan ke penumpang. Dah tau klo vaksin ga lngkap kok ttp bisa isi aplikasi,1,Negatif
"Sejak awal memanfaatkan aplikasi Traveloka 99% selalu sukses. Tidak pernah menemukan masalah yang mengganggu. Bahkan seperti nya makin lama makin mudah. Saat selesai membayar, dalam hitungan detik status pembayaran sudah muncul. Pembayaran dengan poin juga sangat mudah. Tetapi yang mengecewakan jika sudah menentukan pilihan, ternyata saat proses berlangsung, harga tiba-tiba berubah. Selalu naik, belum pernah turun.",4,Positif
"Sdh lama langganan tp di akhir"" ini bnr"" bkin jengkel stiap cek jadwal sllu berubah"" cek hr ini yg ad transit 2x pdhl rcn trbng msh 1 buln lg.. akhirnya buru"" bli yg nyambung 2x. eh besok ato lusa muncul lg jadwal yg transit 1x. Cek bsok y lg hilng lg.. Buset 🤦‍♀️",3,Netral
Layanan untuk komsumen sangat cepat. Mantap lah 👍👍,5,Positif
"Tadinya sering pesen tiket film, Bus dan hotel lewat sini, terus bayar booking lewat internet banking, pas dapat Paylater dicoba malah ditolak.. Ya udahlah turunin aja bintang sama uninstall, buat apa kasih bintang 5 kalau kepuasan konsumen malah dipermainkan..",1,Negatif
"Ini saya mau bayar paylatter kenapa gk bisa ya? Padahal saya sudah update dan login ulang, tp tertulis tidak ada jaringan, mohon bantuan nya",3,Netral
Kecewa sih sama sistem paylater nya. Ketika udh dialhikan penagihan ke pihak ketiga dan sudah dibayarkan tapi tidak segera di update datanya dan si penagih masih nagih mulu selama berminggu-minggu padahal sudah dibayar,1,Negatif
Ini gimana sih sistemnya? Selalu jumlah harga tiket brubah tiba2 saat mau bayar.. ngawur..,1,Negatif
"Pesan penginapan di oyo dari traveloka, tapi boking nya ga masuk di system oyo malah di anggap ga hadir dan potong debit credit. Aneh",1,Negatif
Hari ini saya pesan 3 kamar hotel di canggu Bali. Saya sudah bayar tetapi hotel yg saya datangi tidak ada kamar. Pihak hotel menyalahkan traveloka karena merasa tidak membuka aplikasi.. Kejadian tsb tidak hanya 1 hotel saja tetapi pada tgl 1 mei juga seperti itu. Sangat buruk sekali aplikasi ini.. Mengingat jarak tempuh ke hotel lumayan cukup jauh....,1,Negatif
akan lebih bagus kalo setiap metode pembayaran ada tutorialnya,4,Positif
Iklan traveloka pay latter dimana-mana tadi buat daftar & isi data menunya berulang dan etika selesai nggak bisa di klik kalau dari memang paylaternya udah limit nggak usah iklan dimana-mana bikin pelanggan males aja,1,Negatif
